|      | 日期         | 城市   |   AQI |   PM2_5 |   PM10 |   SO2 |   NO2 |   CO |    O3 | 质量等级   |   月份 | 月份名称   |
|   53 | 2025-02-23 | 天津   |    76 |    55.7 |   77.7 |  17.5 |  28.2 | 0.61 | 105.7 | 良      |    2 | 2月     |
|   54 | 2025-02-24 | 天津   |    68 |    49.6 |   80.8 |   7.6 |  26.3 | 0.72 |  55.4 | 良      |    2 | 2月     |
|   55 | 2025-02-25 | 天津   |   104 |    77.9 |   87.9 |  21.5 |  30.9 | 0.62 | 118.3 | 轻度污染   |    2 | 2月     |
|   56 | 2025-02-26 | 天津   |    65 |    26.5 |   80.7 |  12.1 |  23.2 | 1.18 |  87.6 | 良      |    2 | 2月     |
|   57 | 2025-02-27 | 天津   |    95 |    71   |   72.5 |   9.8 |  33.8 | 0.48 |  76.8 | 良      |    2 | 2月     |
|   58 | 2025-02-28 | 天津   |    73 |    46.6 |   95.2 |  12.6 |  31.2 | 0.88 |  95.9 | 良      |    2 | 2月     |
|   59 | 2025-03-01 | 天津   |    57 |    37   |   65   |   4.1 |  27.9 | 0.78 |  91.7 | 良      |    3 | 3月     |
|   60 | 2025-03-02 | 天津   |    84 |    52.8 |  118.6 |   8.3 |  28.5 | 0.72 | 122.2 | 良      |    3 | 3月     |
|   61 | 2025-03-03 | 天津   |   107 |    64.6 |  163.8 |  11.2 |  41.6 | 0.97 |  95.8 | 轻度污染   |    3 | 3月     |
|   62 | 2025-03-04 | 天津   |    79 |    58.2 |  100   |   4.1 |  33.8 | 0.73 | 128.3 | 良      |    3 | 3月     |
|   63 | 2025-03-05 | 天津   |    83 |    55.1 |  115.8 |   8.8 |  42.4 | 0.54 | 110.1 | 良      |    3 | 3月     |
|   64 | 2025-03-06 | 天津   |    89 |    56.8 |  128.7 |   3   |  30.6 | 0.72 | 120.6 | 良      |    3 | 3月     |
|   65 | 2025-03-07 | 天津   |    91 |    60.8 |  131.7 |  10   |  16.5 | 0.62 | 104.9 | 良      |    3 | 3月     |
|   66 | 2025-03-08 | 天津   |    93 |    30.4 |  135.2 |   8.1 |  24.8 | 0.76 | 128.2 | 良      |    3 | 3月     |
|   67 | 2025-03-09 | 天津   |    90 |    37.7 |  129.3 |  10.1 |  14.6 | 0.81 |  84.9 | 良      |    3 | 3月     |
|   68 | 2025-03-10 | 天津   |    78 |    48.8 |  105.6 |   6.4 |  30.1 | 0.48 | 108.1 | 良      |    3 | 3月     |
|   69 | 2025-03-11 | 天津   |   101 |    49.3 |  151.1 |   5.4 |  31.5 | 0.89 |  99.3 | 轻度污染   |    3 | 3月     |
|   70 | 2025-03-12 | 天津   |    87 |    57.2 |  124.4 |   9.2 |  19.9 | 0.59 | 131.9 | 良      |    3 | 3月     |
|   71 | 2025-03-13 | 天津   |    87 |    63.6 |  124.4 |   3   |  21.4 | 0.73 | 134.1 | 良      |    3 | 3月     |
|   72 | 2025-03-14 | 天津   |    84 |    62.6 |  116.1 |   3   |  27   | 0.76 | 107.4 | 良      |    3 | 3月     |
|   73 | 2025-03-15 | 天津   |   115 |    55   |  180.6 |   6.6 |  17.4 | 0.71 |  84.5 | 轻度污染   |    3 | 3月     |
|   74 | 2025-03-16 | 天津   |   104 |    78.6 |  125   |   5.4 |  16.8 | 0.61 | 115.7 | 轻度污染   |    3 | 3月     |
|   75 | 2025-03-17 | 天津   |    72 |    52.6 |   89.1 |   8.2 |  34.3 | 0.54 |  78.4 | 良      |    3 | 3月     |
|   76 | 2025-03-18 | 天津   |    89 |    53.3 |  128.5 |   9.8 |  26.3 | 0.58 | 137.9 | 良      |    3 | 3月     |
|   77 | 2025-03-19 | 天津   |   100 |    74.9 |  131.7 |   8.1 |  21.5 | 0.94 | 100.4 | 良      |    3 | 3月     |
|   78 | 2025-03-20 | 天津   |    83 |    61.3 |  117   |   9.5 |  13.5 | 0.45 | 108.7 | 良      |    3 | 3月     |
|   79 | 2025-03-21 | 天津   |   114 |    86.4 |   94.3 |   7.4 |  31.2 | 0.48 |  97.2 | 轻度污染   |    3 | 3月     |
|   80 | 2025-03-22 | 天津   |    71 |    51.7 |   88.2 |   7.9 |  20.3 | 0.47 |  93.5 | 良      |    3 | 3月     |
|   81 | 2025-03-23 | 天津   |    88 |    61.3 |  126.3 |   6   |  38.1 | 0.65 | 123.3 | 良      |    3 | 3月     |
|   82 | 2025-03-24 | 天津   |    90 |    32.8 |  130.3 |   7.7 |  31   | 0.31 | 107.4 | 良      |    3 | 3月     |
|   83 | 2025-03-25 | 天津   |    81 |    60   |  108.1 |   6.8 |  19.2 | 0.35 | 111.2 | 良      |    3 | 3月     |
|   84 | 2025-03-26 | 天津   |    97 |    57.8 |  144.3 |   7.2 |  19.8 | 0.56 |  92.6 | 良      |    3 | 3月     |
|   85 | 2025-03-27 | 天津   |    84 |    30.1 |  118.1 |   5.7 |  36.8 | 0.36 | 126.3 | 良      |    3 | 3月     |
|   86 | 2025-03-28 | 天津   |    87 |    58.1 |  123.2 |   8.6 |  24.1 | 0.37 | 128.3 | 良      |    3 | 3月     |
|   87 | 2025-03-29 | 天津   |    69 |    35.1 |   88.4 |   4.1 |  21   | 0.36 | 107.5 | 良      |    3 | 3月     |
|   88 | 2025-03-30 | 天津   |    79 |    23.3 |   93.6 |   6.1 |  24.7 | 0.44 | 134.3 | 良      |    3 | 3月     |
|   89 | 2025-03-31 | 天津   |    87 |    64.6 |   94   |  10.1 |  20.8 | 0.76 | 109.8 | 良      |    3 | 3月     |
|   90 | 2025-04-01 | 天津   |    82 |    61   |   94.7 |   3.3 |  26.1 | 0.8  | 125.8 | 良      |    4 | 4月     |
|   91 | 2025-04-02 | 天津   |    86 |    58.2 |  122.2 |   3   |  23.8 | 0.99 |  82.7 | 良      |    4 | 4月     |
|   92 | 2025-04-03 | 天津   |    87 |    57.1 |  124   |   7.2 |  30.4 | 0.98 | 118.5 | 良      |    4 | 4月     |
|   93 | 2025-04-04 | 天津   |    80 |    57.2 |  109.7 |   5.3 |  21.5 | 0.76 | 107.3 | 良      |    4 | 4月     |
|   94 | 2025-04-05 | 天津   |    93 |    61.4 |  136.9 |   9.1 |  18   | 0.81 | 115.1 | 良      |    4 | 4月     |
|   95 | 2025-04-06 | 天津   |    83 |    54.2 |  115.9 |   5.7 |  21.7 | 0.63 | 114.4 | 良      |    4 | 4月     |
|   96 | 2025-04-07 | 天津   |    97 |    46.6 |  144.9 |   4.2 |  21.7 | 0.71 | 114.8 | 良      |    4 | 4月     |
|   97 | 2025-04-08 | 天津   |    74 |    54   |   71   |   5.8 |  23.6 | 0.99 | 123.7 | 良      |    4 | 4月     |
|   98 | 2025-04-09 | 天津   |   117 |    59.8 |  184.8 |   9.3 |  28.5 | 0.68 | 102.6 | 轻度污染   |    4 | 4月     |
|   99 | 2025-04-10 | 天津   |    69 |    36.5 |   72.7 |   7.7 |  28.1 | 0.83 | 123   | 良      |    4 | 4月     |
|  100 | 2025-04-11 | 天津   |    88 |    65.5 |  110   |   3   |  32.4 | 0.41 | 135   | 良      |    4 | 4月     |
|  101 | 2025-04-12 | 天津   |    87 |    44.8 |  123.1 |   6.6 |  18.4 | 0.47 |  87.5 | 良      |    4 | 4月     |
|  102 | 2025-04-13 | 天津   |    87 |    64.8 |  111.9 |   6.7 |  26.7 | 0.66 |  98.9 | 良      |    4 | 4月     |
|  103 | 2025-04-14 | 天津   |    85 |    62.8 |  112   |   5.9 |  29.1 | 0.63 |  99.7 | 良      |    4 | 4月     |
|  104 | 2025-04-15 | 天津   |    88 |    27.6 |  126.2 |   4.2 |  19.3 | 0.48 |  93.3 | 良      |    4 | 4月     |
|  105 | 2025-04-16 | 天津   |    72 |    30.8 |   93.2 |   9.6 |  22.5 | 1.08 | 104.5 | 良      |    4 | 4月     |
|  106 | 2025-04-17 | 天津   |    85 |    38.3 |  119.8 |   9.7 |  12   | 0.63 | 131.6 | 良      |    4 | 4月     |
|  107 | 2025-04-18 | 天津   |    83 |    58.3 |   98.7 |   3   |  30.4 | 0.51 | 139   | 良      |    4 | 4月     |
|  108 | 2025-04-19 | 天津   |    83 |    44.2 |  117   |   3.6 |  22.5 | 0.63 | 114.9 | 良      |    4 | 4月     |
|  109 | 2025-04-20 | 天津   |    64 |    46.1 |   77.5 |   5.6 |  29.7 | 0.61 | 107.1 | 良      |    4 | 4月     |
|  110 | 2025-04-21 | 天津   |    89 |    60.7 |  128.5 |   8.9 |  25.5 | 0.64 | 127.3 | 良      |    4 | 4月     |
|  111 | 2025-04-22 | 天津   |    66 |    48   |   81.5 |   6.1 |  22.8 | 0.3  |  70.3 | 良      |    4 | 4月     |
|  112 | 2025-04-23 | 天津   |    92 |    57.2 |  133.9 |   4   |  12.9 | 0.86 |  93.8 | 良      |    4 | 4月     |
|  113 | 2025-04-24 | 天津   |    84 |    25.3 |  118.1 |   8.2 |  14.2 | 0.87 |  70.9 | 良      |    4 | 4月     |
|  114 | 2025-04-25 | 天津   |    71 |    45.6 |   91.6 |   5.4 |  12   | 0.9  |  93.4 | 良      |    4 | 4月     |
|  115 | 2025-04-26 | 天津   |    92 |    49   |  134.2 |   5.7 |  20.2 | 0.67 |  98.7 | 良      |    4 | 4月     |
|  116 | 2025-04-27 | 天津   |    97 |    72.6 |   78.3 |   6   |  40.2 | 0.74 | 139   | 良      |    4 | 4月     |
|  117 | 2025-04-28 | 天津   |   108 |    81.4 |  109.2 |   7.8 |  15.2 | 0.43 |  62.6 | 轻度污染   |    4 | 4月     |
|  118 | 2025-04-29 | 天津   |    87 |    42.8 |  123.5 |   5.2 |  12   | 0.77 | 104.7 | 良      |    4 | 4月     |
|  119 | 2025-04-30 | 天津   |    75 |    49.8 |  100.6 |   8.2 |  31.1 | 0.66 | 123.2 | 良      |    4 | 4月     |
|  120 | 2025-05-01 | 天津   |    91 |    51.3 |   88.1 |   5.9 |  40.9 | 0.52 | 149.3 | 良      |    5 | 5月     |
|  121 | 2025-05-02 | 天津   |   107 |    76.3 |  124.6 |   3   |  26.5 | 0.78 | 168   | 轻度污染   |    5 | 5月     |
|  122 | 2025-05-03 | 天津   |    92 |    55.5 |  134.6 |   6.1 |  26.5 | 0.79 | 144.5 | 良      |    5 | 5月     |
|  123 | 2025-05-04 | 天津   |   107 |    80.9 |  153.1 |   3.1 |  22.4 | 0.62 | 148.1 | 轻度污染   |    5 | 5月     |
|  124 | 2025-05-05 | 天津   |    99 |    60.8 |  148.2 |   6.3 |  12.1 | 0.7  | 108.1 | 良      |    5 | 5月     |
|  125 | 2025-05-06 | 天津   |    83 |    54.6 |  116.4 |   8.7 |  14.5 | 0.41 | 123.2 | 良      |    5 | 5月     |
|  126 | 2025-05-07 | 天津   |    87 |    64.9 |  121.6 |   3   |  22.5 | 0.86 | 108.7 | 良      |    5 | 5月     |
|  127 | 2025-05-08 | 天津   |    92 |    42.1 |  105.6 |   7.4 |  21.3 | 0.44 | 150.9 | 良      |    5 | 5月     |
|  128 | 2025-05-09 | 天津   |    89 |    37.1 |  119.2 |   3.8 |  24.1 | 0.48 | 146.6 | 良      |    5 | 5月     |
|  129 | 2025-05-10 | 天津   |    88 |    52.4 |   99.8 |   6.9 |  30.8 | 0.63 | 145.8 | 良      |    5 | 5月     |
|  130 | 2025-05-11 | 天津   |    96 |    72.2 |  107.1 |   8.9 |  21   | 0.85 | 124   | 良      |    5 | 5月     |
|  131 | 2025-05-12 | 天津   |    94 |    54.7 |  138.3 |   3   |  31.1 | 0.85 | 122.1 | 良      |    5 | 5月     |
|  132 | 2025-05-13 | 天津   |    86 |    49.9 |  114.7 |   3.1 |  21.2 | 0.63 | 143.1 | 良      |    5 | 5月     |
|  133 | 2025-05-14 | 天津   |    93 |    50.9 |  135.6 |   5.3 |  32.6 | 0.78 | 127   | 良      |    5 | 5月     |
|  134 | 2025-05-15 | 天津   |    85 |    25.9 |  120.1 |   7.4 |  26   | 0.3  | 120.4 | 良      |    5 | 5月     |
|  135 | 2025-05-16 | 天津   |    88 |    65   |  106.3 |   6   |  22.5 | 0.49 | 129.4 | 良      |    5 | 5月     |
|  136 | 2025-05-17 | 天津   |    74 |    54.5 |   85.8 |   6.4 |  26.1 | 0.49 | 126.3 | 良      |    5 | 5月     |
|  137 | 2025-05-18 | 天津   |   105 |    61.7 |  160.3 |  12.7 |  23.7 | 0.89 | 122.3 | 轻度污染   |    5 | 5月     |
|  138 | 2025-05-19 | 天津   |    85 |    53.2 |  119.6 |   3   |  26.6 | 0.77 | 115.5 | 良      |    5 | 5月     |
|  139 | 2025-05-20 | 天津   |    88 |    36.3 |  109.3 |  10.1 |  31.3 | 0.68 | 145.3 | 良      |    5 | 5月     |
|  140 | 2025-05-21 | 天津   |   104 |    39.3 |  121.3 |   5.6 |  25.5 | 0.7  | 164.9 | 轻度污染   |    5 | 5月     |
|  141 | 2025-05-22 | 天津   |    85 |    59.1 |  120.6 |   8.4 |  23.6 | 0.96 | 135.9 | 良      |    5 | 5月     |
|  142 | 2025-05-23 | 天津   |    98 |    58.9 |  145.5 |  13.2 |  18.5 | 0.61 | 140.2 | 良      |    5 | 5月     |
|  143 | 2025-05-24 | 天津   |    99 |    61.6 |  148.3 |   8.9 |  30.5 | 0.39 | 145.5 | 良      |    5 | 5月     |
|  144 | 2025-05-25 | 天津   |   100 |    56   |  150.6 |   8   |  29   | 0.87 | 142.1 | 良      |    5 | 5月     |
|  145 | 2025-05-26 | 天津   |    99 |    74.6 |  131   |  11.7 |  18.4 | 0.69 | 119.9 | 良      |    5 | 5月     |
|  146 | 2025-05-27 | 天津   |   105 |    52.9 |   98.3 |  10.3 |  32.7 | 0.85 | 165.7 | 轻度污染   |    5 | 5月     |
|  147 | 2025-05-28 | 天津   |    76 |    36.4 |  102.4 |   4.6 |  18.6 | 0.65 | 120.7 | 良      |    5 | 5月     |
|  148 | 2025-05-29 | 天津   |   104 |    42.3 |  158.2 |   7.9 |  34.3 | 0.5  | 145.6 | 轻度污染   |    5 | 5月     |
|  149 | 2025-05-30 | 天津   |    96 |    58.7 |  141.1 |   3   |  32.1 | 0.75 | 143.1 | 良      |    5 | 5月     |
|  150 | 2025-05-31 | 天津   |   104 |    57.2 |  158.8 |   5.5 |  30.3 | 0.67 |  97.9 | 轻度污染   |    5 | 5月     |
|  151 | 2025-06-01 | 天津   |    81 |    19.6 |  111.6 |   8.1 |  24.9 | 0.71 | 126.2 | 良      |    6 | 6月     |
|  152 | 2025-06-02 | 天津   |    78 |    35.6 |   65.4 |   5.4 |  31.7 | 1    | 133.3 | 良      |    6 | 6月     |
|  153 | 2025-06-03 | 天津   |    81 |    36.3 |  112.9 |   8.1 |  35.4 | 0.46 | 134.2 | 良      |    6 | 6月     |
|  154 | 2025-06-04 | 天津   |    81 |    24.1 |   93.4 |   7.3 |  32.1 | 0.74 | 136.8 | 良      |    6 | 6月     |
|  155 | 2025-06-05 | 天津   |    87 |    43.3 |   68.2 |   9   |  23.4 | 0.52 | 144.6 | 良      |    6 | 6月     |
|  156 | 2025-06-06 | 天津   |    75 |    46.5 |  100.4 |   6.2 |  30.2 | 0.3  | 130.3 | 良      |    6 | 6月     |
|  157 | 2025-06-07 | 天津   |   100 |    34.2 |  104.4 |   4.7 |  36.4 | 0.68 | 160.1 | 良      |    6 | 6月     |
|  158 | 2025-06-08 | 天津   |    84 |    62.5 |   61.7 |  12   |  44   | 0.7  | 128.7 | 良      |    6 | 6月     |
|  159 | 2025-06-09 | 天津   |    94 |    34.2 |  105.8 |   6.1 |  27.3 | 0.82 | 152.8 | 良      |    6 | 6月     |
|  160 | 2025-06-10 | 天津   |    74 |    32.8 |   92.9 |   9.6 |  35   | 0.66 | 129.2 | 良      |    6 | 6月     |
|  161 | 2025-06-11 | 天津   |    85 |    32.6 |  119   |  12   |  37.1 | 0.41 | 141.6 | 良      |    6 | 6月     |
|  162 | 2025-06-12 | 天津   |    90 |    28.6 |   63.4 |   8.2 |  23.6 | 0.55 | 147.5 | 良      |    6 | 6月     |
|  163 | 2025-06-13 | 天津   |    81 |    31.8 |   65.1 |   5.3 |  41.9 | 0.98 | 136.8 | 良      |    6 | 6月     |
|  164 | 2025-06-14 | 天津   |    92 |    21.5 |   31.9 |   7.3 |  22.2 | 0.55 | 150.6 | 良      |    6 | 6月     |
|  165 | 2025-06-15 | 天津   |    78 |    36.5 |   84.1 |  11   |  35.5 | 1.04 | 133.6 | 良      |    6 | 6月     |
|  166 | 2025-06-16 | 天津   |    84 |    39.7 |   80.5 |   8.6 |  32.1 | 0.93 | 141.1 | 良      |    6 | 6月     |
|  167 | 2025-06-17 | 天津   |    85 |    11.7 |   62   |   4.4 |  30.6 | 0.66 | 141.9 | 良      |    6 | 6月     |
|  168 | 2025-06-18 | 天津   |    67 |    38.1 |   71.9 |   9.9 |  48.2 | 0.59 | 120.5 | 良      |    6 | 6月     |
|  169 | 2025-06-19 | 天津   |    81 |    39.9 |   47.6 |  10.5 |  28.4 | 0.95 | 137   | 良      |    6 | 6月     |
|  170 | 2025-06-20 | 天津   |    74 |    45.8 |   98   |   7.2 |  28.5 | 0.69 | 106.5 | 良      |    6 | 6月     |
|  171 | 2025-06-21 | 天津   |   109 |    54.2 |   64.6 |  10.1 |  40.2 | 0.43 | 170.1 | 轻度污染   |    6 | 6月     |
|  172 | 2025-06-22 | 天津   |    93 |    50.1 |  136.5 |   9.1 |  36.4 | 0.86 | 132.7 | 良      |    6 | 6月     |
|  173 | 2025-06-23 | 天津   |    84 |    32.6 |   71.4 |   7.8 |  40.3 | 0.84 | 140.7 | 良      |    6 | 6月     |
|  174 | 2025-06-24 | 天津   |    80 |    31.4 |   60   |   4.6 |  32.3 | 0.98 | 136   | 良      |    6 | 6月     |
|  175 | 2025-06-25 | 天津   |   114 |    47.3 |   67.2 |  11.8 |  33.9 | 0.83 | 175.2 | 轻度污染   |    6 | 6月     |
|  176 | 2025-06-26 | 天津   |    65 |    34   |   47.5 |  10.9 |  45.2 | 0.65 | 118.3 | 良      |    6 | 6月     |
|  177 | 2025-06-27 | 天津   |    98 |    26   |   85.7 |  10.4 |  26.2 | 1.02 | 157.3 | 良      |    6 | 6月     |
|  178 | 2025-06-28 | 天津   |    93 |    69.4 |   68   |  13.4 |  31.5 | 1.05 | 114   | 良      |    6 | 6月     |
|  179 | 2025-06-29 | 天津   |    75 |    37.3 |   99.3 |  11.6 |  38   | 0.82 | 123.2 | 良      |    6 | 6月     |
|  180 | 2025-06-30 | 天津   |    61 |    33.7 |   71.5 |  10.9 |  31.3 | 0.79 |  85.3 | 良      |    6 | 6月     |
|  181 | 2025-07-01 | 天津   |    84 |    15.1 |  104.9 |   3   |  28.8 | 0.52 | 141.2 | 良      |    7 | 7月     |
|  182 | 2025-07-02 | 天津   |    71 |    51.7 |   92.7 |  12.6 |  37.4 | 0.67 | 117.4 | 良      |    7 | 7月     |
|  183 | 2025-07-03 | 天津   |    87 |    29.8 |   78.4 |   9.3 |  42.6 | 0.94 | 143.9 | 良      |    7 | 7月     |
|  184 | 2025-07-04 | 天津   |    80 |    42.2 |  109.8 |  10.1 |  32.5 | 0.69 |  69.9 | 良      |    7 | 7月     |
|  185 | 2025-07-05 | 天津   |    90 |    53.7 |   97.5 |  10.2 |  32.5 | 0.51 | 148.3 | 良      |    7 | 7月     |
|  186 | 2025-07-06 | 天津   |    94 |    30.5 |  137.7 |  11.6 |  29.3 | 1.5  | 110.7 | 良      |    7 | 7月     |
|  187 | 2025-07-07 | 天津   |    60 |    43.3 |   70.9 |  12.7 |  32   | 0.52 |  97.6 | 良      |    7 | 7月     |
|  188 | 2025-07-08 | 天津   |    82 |    60.8 |   80.9 |  11.3 |  41.8 | 1.26 | 101   | 良      |    7 | 7月     |
|  189 | 2025-07-09 | 天津   |    81 |    13.2 |  111.1 |  10.9 |  35   | 0.76 | 112   | 良      |    7 | 7月     |
